	as	av	ag	aa	ac	at	bam	ban	bca	bceh	bce	bco	bfr	bhi	bhy	bnu	bpu	bsp	bsu	br	ebv	fib	cols	colt	esog	esom	esomu	haa	hlv	kc	liv	lu	msg	ms	nt	pan	pit	snse	sse	si	spl	sto	thy	wb	ov	pro	tes	ut	va
SMEXNCRT	0.09031919803486138	0.22624699925374117	0.08217126611080261	0.2537113089480767	0.17759242098460454	0.07801444790401553	0.08034509889255188	0.06461336419853016	0.04836410974169321	0.08595537903773035	0.016228773334925336	0.01727658349572913	0.03430093892620579	0.08223545821818982	0.03126255501350024	0.06911675914617141	0.03579915410945952	0.07046954974695048	0.040733618423553386	0.2913977724337297	0.045554891908395755	0.037372254750496346	0.08609868008497173	0.00784233853568485	0.1410266850500566	0.09152005584301445	0.16994651144989492	0.050206135918114174	0.04397004969161131	0.08255694811074002	0.14050388686996132	0.21785985477897762	0.16548644489782827	0.1482393861159969	0.09252133544532246	0.20247749889972189	0.031715544925311916	0.12409159124369755	0.16914828105440344	0.1744509394369117	0.17918186281581835	0.07833796718910543	0.037515571326201244	0.10624293694313049	0.0765270028755576	0.09418464733512448	0.031654962144306825	0.2952132331936506	0.19721170880082137
SMEXPEFF	0.014640472988124471	0.15749750518141895	0.07529257910732998	0.24239422474830843	0.1752116278909875	0.015806324194507306	0.03477926456758731	0.03087989206007126	0.013101393174795703	0.03902278148743161	0.010010221691683141	0.010363975208121311	0.023748211330908365	0.008332189654654631	0.006899295858196361	0.021300629146576898	0.017465366080654493	0.02701424854084555	0.03430164492399005	0.20699140700429997	0.028298502461105997	0.03802684598575428	0.09242181964490283	0.008101702367761086	0.14736595933056956	0.09787426721780833	0.16545478866924704	0.02651856852610219	0.007408217409508134	0.0799356221622189	0.1091908938327023	0.047864040760073064	0.15636801105920892	0.01955678943975254	0.01172567852150699	0.15265081009134282	0.018846772821313286	0.0709144796545356	0.022222592390988536	0.1696986528768925	0.16782101251164	0.06425240377509739	0.012332358411424597	0.04067064298149939	0.07750013412732096	0.06104387434086479	0.020901884402889395	0.29478844167726753	0.19704426299386896
SMGEBTCH	0.005092654275025794	0.0039056613000429943	0.0045180641166179735	0.008223704704225286	0.01850596828798174	0.004820185752481649	0.014979736918609238	0.043212855513771804	0.006543569989410129	0.015824317812954552	0.012416684671880075	0.008507276493137619	0.015316456531609186	0.014644134905575755	0.012803521666668068	0.013199512631609817	0.008776959904428583	0.00936450849858742	0.03158426079976369	0.006921735854754548	0.010425949325564435	0.04855759949863716	0.014128138656180891	0.02869292227783895	0.00205201149932526	0.0043940718307426	0.007921723327684657	0.0015193368896619032	0.007729183319274115	0.010305587470462679	0.006054963789150121	0.012760125510805945	0.0037178205652973364	0.006734918197081353	0.008482410285453514	0.004187066624731007	0.004028584464384847	0.0030316430389657196	0.003394412574528985	0.00947003393689212	0.005006315463392925	0.002350303428323175	0.006768644555231079	0.003870086504399083	0.009536546228918719	0.0057002607596893335	0.0014808224528390522	0.021411278706442133	0.01047925619855299
SMGEBTCHD	0.003170357996720699	0.0035002795668688355	0.0033351503649355083	0.009451739672394864	0.013964867698913294	0.005435956699419161	0.011516625648383742	0.04100350382671136	0.0056548029750101885	0.015815878194054573	0.011378166982432473	0.008717339272582652	0.013241726431537922	0.0138991454738402	0.01514204984481404	0.012809864483798547	0.008737326223787954	0.009336310879213425	0.0264772237716136	0.004490103810816619	0.009358753866352541	0.03945358330426333	0.01345954996583714	0.01996794292001362	0.0020543329278507115	0.004273529741850499	0.007109631388086328	0.0016605868715554048	0.005164726190587811	0.010948361969873003	0.004072620631741665	0.010403817619254019	0.007407223206816172	0.0059691599548891945	0.007150354154916555	0.011254346197373725	0.0028352500832321353	0.003248488931197364	0.002880553509302665	0.009657904539268708	0.00360994392116172	0.0023853730968147035	0.004381261986555848	0.0029322849158577085	0.009541885638048097	0.00397808809753453	0.0017644574233665006	0.015453879834323109	0.010243839868901827
SMGNSDTC	0.03530918606565422	0.09317112873313214	0.01760363215679004	0.060404903668518244	0.06658909486658814	0.03810406532995029	0.037017051867120364	0.06078058795713339	0.03701395817164383	0.01298312685107398	0.006315571620966741	0.03207798643241749	0.03425780039899076	0.013509811035243218	0.09934075948198691	0.11008549547668324	0.12226345467452263	0.025814223040108435	0.07612442907388071	0.2725617592667212	0.004561551208272302	0.01872423241188455	0.027838187775955453	0.007792350837622769	0.05073497409955551	0.08651846425785698	0.07545079736048449	0.026304804011631086	0.04059393825761658	0.055706890534968134	0.0705200522096863	0.028944643422124904	0.0941298515192401	0.06474274152075978	0.02489773963555538	0.156675111857648	0.0171823943022683	0.06856340786701319	0.08886225838877544	0.10139910088234555	0.0306719219681044	0.02430016038250693	0.01395461419079713	0.1033955076475602	0.0110541964244069	0.05879809722920651	0.03989712879761979	0.1108725062903176	0.08615945490089261
SMMAPRT	0.0018839173614611012	0.0014828266442763313	0.003788825313759089	0.003305862335046868	0.006260063097577049	0.0031321477905977635	0.020080743676151813	0.018518136043571595	0.006699071575552944	0.004660534887401238	0.005221405214453781	0.005352931187097124	0.012239391055560224	0.01029106967685465	0.006293283748814823	0.0122111524630104	0.010178995478734182	0.016944180481047257	0.024942924842416815	0.006059853127367659	0.00992358748631708	0.006082687501819692	0.02468175766295224	0.0012041840082896707	0.04316717699989368	0.017219730036526618	0.006512028202116	0.001296624146684594	0.0028117856969911564	0.018323807475955523	0.0018019835463686205	0.0012951569095746352	0.015508984117543808	0.003536186281986548	0.0029782248110965005	0.008436210879525905	0.0042753527640540965	0.004102352322312591	0.0009342003916165195	0.00437365064014621	0.005042642544812232	0.03304166229664465	0.002401859336112045	0.004222092298416456	0.009454337004912043	0.003043126463247064	0.011859889264232	0.041053140519667325	0.010444442354128015
SMMFLGTH	0.006030671743388609	0.02402470995426429	0.005805078236076789	0.014621639853093074	0.018139020038002104	0.0017782476950703216	0.013791775488228929	0.011118036678991963	0.028028877232412416	0.022164523465965487	0.009846822008622977	0.011061355363927071	0.0035070276015182807	0.005658050016392494	0.00618784428483473	0.0151337956679034	0.028096843426308877	0.011883886823012176	0.01841105535677539	0.01599014270875569	0.0034476591600928618	0.056996963798747934	0.00456635023661027	0.01803799879515984	0.005651090989033095	0.0049638762559297955	0.0027416037185249258	0.009197531038629232	0.016062603694620987	0.018268167553001223	0.012637056212104803	0.019104271551364474	0.021585131771832165	0.008085497197590628	0.00623824020094167	0.029169862913043198	0.004803153627144037	0.009219676741038938	0.002769399210858984	0.016309316895828332	0.008465405219639467	0.014308034313382501	0.005614306633480225	0.01197621299760156	0.011099720678139729	0.005170251177845986	0.013841721405786198	0.003865899078770078	0.010367841240889717
SMMPPD	0.002354906322327544	0.006246832652324306	0.0022850838251216865	0.0017984401270974256	0.00487215335988865	0.0018818242513067975	0.009791048873379952	0.006128460788928574	0.008988728297179739	0.00526951186897199	0.007561200209972844	0.012270820043153207	0.01100147182861298	0.004811018138335769	0.0061212934813691085	0.00540438705442534	0.003937607168796087	0.007601392399731921	0.006808938539921622	0.0035936389713192582	0.003059023162666849	0.06037399102647043	0.005823375392188553	0.0034736070694351305	0.0013159350072265692	0.004262764382513094	0.00291434581059094	0.0037714498128166483	0.015958892243814866	0.0076304795158450575	0.005647403346156381	0.008269933369011303	0.01344636697445143	0.0026363089132103268	0.0008214127182690705	0.007111003200229266	0.0043610713636098005	0.0021198206311691587	0.0010866998058176676	0.013025012847519451	0.005364358171010914	0.0013180757958417958	0.0034705993712818273	0.006813556775824723	0.005181950155019422	0.002854420014049956	0.014044169035870625	0.010239742977478669	0.00440539381083662
SMMPPDPR	0.00233202234398547	0.006442946569339076	0.0022910417208007357	0.0018778404497256306	0.004891033344828325	0.0018732723336830246	0.009681051666231802	0.006113067218656848	0.009079819016163898	0.005295244163876329	0.007540644764485785	0.012006616216421585	0.011002095064494522	0.004883070015495113	0.00616984842066371	0.00537394088643889	0.00397791245296843	0.007732904575772381	0.006843865278670629	0.0034860901320013025	0.0029568087449151573	0.06068579710599099	0.005931335009947743	0.0034474109144636235	0.0013486505899288712	0.0043851702186997734	0.0029021042232364198	0.0038292971712186536	0.015979226948988276	0.007663754656777124	0.005683158357578256	0.008389718180532569	0.013388419459059974	0.002661996880001026	0.000824208562358349	0.007162551681436134	0.00432860706129185	0.0021605878064320733	0.001077532535563147	0.012978001408897055	0.005429527729041298	0.0013235611170604	0.003490281470564965	0.006784745484454388	0.005205207623190028	0.002860728116311161	0.013905118118337428	0.009887532316422717	0.004547008516984521
SMMPPDUN	0.002354906322327544	0.006246832652324306	0.0022850838251216865	0.0017984401270974256	0.00487215335988865	0.0018818242513067975	0.009791048873379952	0.006128460788928574	0.008988728297179739	0.00526951186897199	0.007561200209972844	0.012270820043153207	0.01100147182861298	0.004811018138335769	0.0061212934813691085	0.00540438705442534	0.003937607168796087	0.007601392399731921	0.006808938539921622	0.0035936389713192582	0.003059023162666849	0.06037399102647043	0.005823375392188553	0.0034736070694351305	0.0013159350072265692	0.004262764382513094	0.00291434581059094	0.0037714498128166483	0.015958892243814866	0.0076304795158450575	0.005647403346156381	0.008269933369011303	0.01344636697445143	0.0026363089132103268	0.0008214127182690705	0.007111003200229266	0.0043610713636098005	0.0021198206311691587	0.0010866998058176676	0.013025012847519451	0.005364358171010914	0.0013180757958417958	0.0034705993712818273	0.006813556775824723	0.005181950155019422	0.002854420014049956	0.014044169035870625	0.010239742977478669	0.00440539381083662
SMMPUNRT	0.0018839173614611012	0.0014828266442763313	0.003788825313759089	0.003305862335046868	0.006260063097577049	0.0031321477905977635	0.020080743676151813	0.018518136043571595	0.006699071575552944	0.004660534887401238	0.005221405214453781	0.005352931187097124	0.012239391055560224	0.01029106967685465	0.006293283748814823	0.0122111524630104	0.010178995478734182	0.016944180481047257	0.024942924842416815	0.006059853127367659	0.00992358748631708	0.006082687501819692	0.02468175766295224	0.0012041840082896707	0.04316717699989368	0.017219730036526618	0.006512028202116	0.001296624146684594	0.0028117856969911564	0.018323807475955523	0.0018019835463686205	0.0012951569095746352	0.015508984117543808	0.003536186281986548	0.0029782248110965005	0.008436210879525905	0.0042753527640540965	0.004102352322312591	0.0009342003916165195	0.00437365064014621	0.005042642544812232	0.03304166229664465	0.002401859336112045	0.004222092298416456	0.009454337004912043	0.003043126463247064	0.011859889264232	0.041053140519667325	0.010444442354128015
